"# Tucson June 23--Jul7, 2017 weather from airport observations to go with CAISO prices from same time period.",,,,,,
# Datetime Temp(F) RH (%) solar_direct (W/sf) solar_difuse (W/sf) pressure (kPA) wind (m/s),,,,,,
$state_name=Arizona,,,,,,
$city_name=Tucson,,,,,,
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed,
07:03:09:00:00,87.08,0.32,59.55,10.68,930.91,2.1
07:03:10:00:00,89.96,0.29,67.91,12.82,930.96,1.5
07:03:11:00:00,93.92,0.24,72,14.77,931.16,3.6
07:03:12:00:00,93.92,0.24,76.55,14.49,931.16,3.6
07:03:13:00:00,98.96,0.22,75.62,16.44,930.13,3.1
07:03:14:00:00,100.04,0.19,71.91,18.95,929.64,3.1
07:03:15:00:00,100.94,0.2,71.26,17.84,928.85,3.6
07:03:16:00:00,102.02,0.2,67.26,17.19,927.99,7.7
07:03:17:00:00,100.94,0.2,61.97,15.24,927.19,8.8
07:03:18:00:00,100.94,0.2,55.46,11.8,927.19,8.8
07:03:19:00:00,96.98,0.25,43.11,7.62,926.73,6.2
07:03:20:00:00,96.08,0.24,0,0,927.43,3.6
07:03:21:00:00,95,0.25,0,0,927.65,3.1
07:03:22:00:00,91.04,0.26,0,0,927.91,7.7
07:03:23:00:00,89.96,0.26,0,0,927.84,3.1
07:04:00:00:00,89.96,0.26,0,0,927.84,3.1
07:04:01:00:00,87.08,0.28,0,0,926.88,2.6
07:04:02:00:00,86,0.29,0,0,926.63,0
07:04:03:00:00,82.04,0.35,0,0,926.32,2.6
07:04:04:00:00,82.94,0.36,0,0,926.54,2.6
07:04:05:00:00,82.04,0.37,0,0,927.05,1.5
07:04:06:00:00,82.04,0.37,0,0,927.05,1.5
07:04:07:00:00,86,0.43,22.02,3.99,928.55,4.1
07:04:08:00:00,89.06,0.36,24.34,10.78,929.18,0
07:04:09:00:00,91.04,0.31,44.04,15.51,929.37,0
07:04:10:00:00,93.02,0.29,61.41,14.86,929.48,2.6
07:04:11:00:00,96.98,0.21,71.35,15.24,929.49,2.6
07:04:12:00:00,96.98,0.21,73.39,16.82,929.49,2.6
07:04:13:00:00,100.04,0.17,74.04,17.74,928.35,4.6
07:04:14:00:00,104,0.14,73.49,18.12,928.17,6.2
07:04:15:00:00,104,0.13,73.3,16.72,927.25,5.1
07:04:16:00:00,105.08,0.11,70.42,15.51,926.66,5.7
07:04:17:00:00,104,0.11,64.94,14.03,925.96,5.1
07:04:18:00:00,104,0.11,44.41,13.47,925.96,5.1
07:04:19:00:00,100.94,0.13,40.23,8.18,925.54,6.7
07:04:20:00:00,98.96,0.13,0,0,925.63,5.1
07:04:21:00:00,96.98,0.15,0,0,925.81,2.6
07:04:22:00:00,93.92,0.16,0,0,925.84,2.1
07:04:23:00:00,93.02,0.19,0,0,926.36,2.6
07:05:00:00:00,93.02,0.19,0,0,926.36,2.6
07:05:01:00:00,89.06,0.29,0,0,926.34,7.2
07:05:02:00:00,87.08,0.32,0,0,925.96,0
07:05:03:00:00,87.08,0.32,0,0,926.32,4.1
07:05:04:00:00,84.92,0.34,0,0,926.38,4.1
